Год,Отрасль,Зарплата,Инфляция,Кумулятивная_инфляция,Реальная_зарплата
2000,Всего,2223.4,20.2,1.0,2223.4
2001,Всего,3240.4,18.58,1.1858,2732.669927475122
2002,Всего,4360.3,15.06,1.36438148,3195.8070846871947
2003,Всего,5498.5,11.99,1.5279708194519999,3598.563486946703
2004,Всего,6739.5,11.74,1.7073545936556647,3947.3346808233127
2005,Всего,8554.9,10.91,1.8936269798234977,4517.732420984723
2006,Всего,10633.9,9.0,2.0640534080076125,5151.950021615323
2007,Всего,13593.4,11.87,2.309056547538116,5886.993116081584
2008,Всего,17290.1,13.28,2.615699257051178,6610.125362612245
2009,Всего,18637.5,8.8,2.8458807916716817,6548.9391033319625
2010,Всего,20952.2,8.78,3.095749125180456,6768.054888420154
2011,Всего,23369.2,6.1,3.2845898218164633,7114.80010221679
2012,Всего,26628.9,6.58,3.500715832091987,7606.701394008002
2013,Всего,29792.0,6.45,3.72651200326192,7994.60728260696
2014,Всего,32495.0,11.36,4.149843766832474,7830.415270019442
2015,Всего,34030.0,12.91,4.685588597130546,7262.694812950494
2016,Всего,36709.0,5.38,4.93767326365617,7434.47329133688
2000,Образование,1240.2,20.2,1.0,1240.2
2001,Образование,1833.0,18.58,1.1858,1545.7918704671952
2002,Образование,2927.3,15.06,1.36438148,2145.514317593933
2003,Образование,3386.6,11.99,1.5279708194519999,2216.403583685315
2004,Образование,4203.4,11.74,1.7073545936556647,2461.9373243375194
2005,Образование,5429.7,10.91,1.8936269798234977,2867.3545834809
2006,Образование,6983.3,9.0,2.0640534080076125,3383.294236916492
2007,Образование,8778.3,11.87,2.309056547538116,3801.6825570423125
2008,Образование,11316.8,13.28,2.615699257051178,4326.491269779253
2009,Образование,13293.6,8.8,2.8458807916716817,4671.172467554864
2010,Образование,14075.2,8.78,3.095749125180456,4546.621651449077
2011,Образование,15809.1,6.1,3.2845898218164633,4813.112399909088
2012,Образование,18995.3,6.58,3.500715832091987,5426.118802864565
2013,Образование,23457.9,6.45,3.72651200326192,6294.867688462199
2014,Образование,25862.0,11.36,4.149843766832474,6232.04184376805
2015,Образование,26928.0,12.91,4.685588597130546,5746.9834241296185
2016,Образование,28088.0,5.38,4.93767326365617,5688.509243157544
2017,Образование,30257.6,2.52,5.062102629900305,5977.2790502660955
2018,Образование,34361.0,4.27,5.278254412197048,6509.917354608415
2019,Образование,37071.9,3.05,5.439241171769058,6815.638216671085
2020,Образование,39563.0,4.91,5.7063079133029175,6933.204552065645
2021,Образование,43390.5,8.39,6.185067147229033,7015.364420002998
2022,Образование,48400.2,11.92,6.922327151178733,6991.897225163422
2023,Образование,54314.8,7.42,7.435963825796195,7304.3389226257195
2024,Образование,62912.9,9.51,8.143123985629414,7725.89243526509
2000,Финансовая деятельность,5232.2,20.2,1.0,5232.2
2001,Финансовая деятельность,8885.2,18.58,1.1858,7493.00050598752
2002,Финансовая деятельность,13245.9,15.06,1.36438148,9708.355173510563
2003,Финансовая деятельность,15561.2,11.99,1.5279708194519999,10184.225903987459
2004,Финансовая деятельность,17383.8,11.74,1.7073545936556647,10181.716243711893
2005,Финансовая деятельность,22463.5,10.91,1.8936269798234977,11862.68480505796
2006,Финансовая деятельность,27885.5,9.0,2.0640534080076125,13510.067080539979
2007,Финансовая деятельность,34879.8,11.87,2.309056547538116,15105.649983837926
2008,Финансовая деятельность,41871.8,13.28,2.615699257051178,16007.880067681937
2009,Финансовая деятельность,42372.9,8.8,2.8458807916716817,14889.204117052981
2010,Финансовая деятельность,50120.0,8.78,3.095749125180456,16189.942393047895
2011,Финансовая деятельность,55788.9,6.1,3.2845898218164633,16985.043194570728
2012,Финансовая деятельность,58999.2,6.58,3.500715832091987,16853.467356344307
2013,Финансовая деятельность,63333.0,6.45,3.72651200326192,16995.2491618336
2014,Финансовая деятельность,68565.0,11.36,4.149843766832474,16522.308754850994
2015,Финансовая деятельность,70088.0,12.91,4.685588597130546,14958.206113725368
2016,Финансовая деятельность,80289.0,5.38,4.93767326365617,16260.49268811863
2017,Финансовая деятельность,84904.0,2.52,5.062102629900305,16772.4770135038
2018,Финансовая деятельность,91070.0,4.27,5.278254412197048,17253.81023498118
2019,Финансовая деятельность,103667.8,3.05,5.439241171769058,19059.2394648835
2020,Финансовая деятельность,112680.0,4.91,5.7063079133029175,19746.568483855037
2021,Финансовая деятельность,130223.3,8.39,6.185067147229033,21054.46827013693
2022,Финансовая деятельность,146637.1,11.92,6.922327151178733,21183.208594096952
2023,Финансовая деятельность,170600.2,7.42,7.435963825796195,22942.580679073333
2024,Финансовая деятельность,206318.4,9.51,8.143123985629414,25336.5170865752
